Broad ID	DrugBank ID
BRD-K76022557	DB00714
BRD-K75516118	DB04149
BRD-K65856711	DB03606
BRD-K89665618	DB03955
BRD-K35114608	DB03381
BRD-K09338665	DB12452
BRD-K22346679	DB01955
BRD-K63784565	DB12385
BRD-K30237152	DB02044
BRD-K70264088	DB06789
BRD-A53037300	DB04483
BRD-K25649279	DB08190
BRD-A04661934	DB15676
BRD-K97833335	DB11831
BRD-K21910317	DB04528
BRD-K00004218	DB15676
BRD-A43598550	DB02854
BRD-K24689407	DB01997
BRD-K43187796	DB02740
BRD-K37846922	DB11875
BRD-K65544384	DB00345
BRD-K97118047	DB04462
BRD-K11773281	DB13101
BRD-K24844714	DB00544
BRD-K60287130	DB01931
BRD-K00004289	DB15676
BRD-K04430056	DB02207
BRD-K09291936	DB12515
BRD-K59060513	DB06985
BRD-K78177893	DB08568
BRD-A30000356	DB15676
BRD-K72226571	DB15676
BRD-K65498798	DB11932
BRD-K00003158	DB00106
BRD-K01825984	DB15676
BRD-K33622447	DB12001
BRD-K50071428	DB05812
BRD-K91623615	DB12254
BRD-K64034691	DB11703
BRD-K26262077	DB00659
BRD-K68538666	DB06736
BRD-K67563174	DB13783
BRD-K36262466	DB04265
BRD-K37814297	DB01614
BRD-K43457670	DB00819
BRD-K52960356	DB00414
BRD-K21615095	DB00551
BRD-K42938903	DB01063
BRD-A44696962	DB15676
BRD-K82381502	DB03128
BRD-K59058747	DB06151
BRD-K63736853	DB09055
BRD-K62012036	DB00459
BRD-K74363950	DB08897
BRD-K50163129	DB09488
BRD-K82928847	DB12376
BRD-K33127281	DB00210
BRD-A73427433	DB02007
BRD-K26060080	DB00173
BRD-K01577834	DB00640
BRD-K85767870	DB00131
BRD-K00003709	DB00171
BRD-K40718343	DB12558
BRD-K66175015	DB08916
BRD-K04210847	DB04468
BRD-K49738308	DB08838
BRD-K84698278	DB06594
BRD-K79131256	DB00518
BRD-K55991142	DB06766
BRD-K47492008	DB13167
BRD-A17407635	DB15676
BRD-A84907376	DB15676
BRD-K11267252	DB11363
BRD-K49522529	DB01436
BRD-K75295174	DB05220
BRD-K30020243	DB09026
BRD-K12872829	DB01431
BRD-K82677201	DB01430
BRD-K67601717	DB00918
BRD-K83003151	DB06203
BRD-K46742498	DB00969
BRD-K54997624	DB12015
BRD-K33396764	DB00132
BRD-K35498378	DB02020
BRD-K89055274	DB01616
BRD-K07857022	DB06274
BRD-K87909389	DB03496
BRD-K70330367	DB00915
BRD-K11292736	DB01122
BRD-K41185545	DB06403
BRD-K56558538	DB06742
BRD-K42948882	DB05501
BRD-K32285926	DB08079
BRD-K97452254	DB15676
BRD-K24610819	DB05395
BRD-K97181089	DB00594
BRD-K64931368	DB00513
BRD-K25114078	DB05383
BRD-K97799481	DB00277
BRD-K87544030	DB08878
BRD-K80267133	DB00233
BRD-K17561142	DB01118
BRD-K33335792	DB11373
BRD-K53737926	DB00321
BRD-K29530284	DB01025
BRD-K56334280	DB05022
BRD-K02265150	DB00543
BRD-K52397688	DB08927
BRD-K45924332	DB01427
BRD-K13843533	DB06263
BRD-K68346641	DB00276
BRD-K66538826	DB12742
BRD-K05355328	DB12417
BRD-K52172416	DB01217
BRD-K82164249	DB07423
BRD-K89282837	DB05767
BRD-K88611939	DB04599
BRD-K47458712	DB01125
BRD-A29623586	DB15676
BRD-K91370081	DB07374
BRD-K36949735	DB11885
BRD-K99300445	DB08799
BRD-K07449869	DB13111
BRD-K86226872	DB12084
BRD-K01493881	DB07352
BRD-K67121414	DB06605
BRD-K64990520	DB12618
BRD-K38911213	DB00964
BRD-K06883221	DB13020
BRD-K93208532	DB05676
BRD-K53236343	DB01429
BRD-K17511755	DB07382
BRD-K13167095	DB12707
BRD-K67860401	DB01950
BRD-K03070961	DB04557
BRD-K08037784	DB11217
BRD-K88646909	DB04365
BRD-A48261811	DB00278
BRD-K70358946	DB01238
BRD-K46386702	DB05944
BRD-K24179883	DB03006
BRD-K32786395	DB01169
BRD-K39621635	DB06697
BRD-K13112821	DB13132
BRD-K49223707	DB05343
BRD-K63915849	DB07503
BRD-A85242401	DB15676
BRD-K00003477	DB05104
BRD-K06542892	DB12729
BRD-K11433652	DB00945
BRD-K37249724	DB00637
BRD-K36269323	DB01686
BRD-K13390322	DB08142
BRD-K12040459	DB07859
BRD-K94830329	DB05016
BRD-A20239487	DB06987
BRD-K20141153	DB00289
BRD-K69726342	DB01076
BRD-A85261566	DB15676
BRD-K16295392	DB06199
BRD-K01825666	DB15676
BRD-K00004526	DB15676
BRD-A94640958	DB15676
BRD-K83720053	DB11893
BRD-K65781196	DB06237
BRD-K68544925	DB11995
BRD-K87782578	DB11764
BRD-K29905972	DB06626
BRD-K03406345	DB00928
BRD-K77821588	DB00719
BRD-K32821942	DB00993
BRD-K65928735	DB12588
BRD-K83186168	DB11946
BRD-K99113996	DB11925
BRD-K00004606	DB12368
BRD-K73984371	DB15676
BRD-K72369578	DB00145
BRD-K28392481	DB12247
BRD-K99023089	DB12218
BRD-A94033181	DB11889
BRD-K52836380	DB07403
BRD-K31495718	DB14949
BRD-K86525559	DB12242
BRD-K69932463	DB12774
