Outcome	drug	Outcome2
No-Effect	go-6983	No-Effect
No-Effect	SAG	No-Effect
No-Effect	SRC-kinase-inhibitor-I	No-Effect
No-Effect	ML323	No-Effect
No-Effect	parbendazole	No-Effect
No-Effect	walrycin-B	No-Effect
No-Effect	camostat-mesilate	No-Effect
Cyto	FRAX486	Cyto
Manual Inspection	favipiravir	No-Effect
Manual Inspection	Control	No-Effect
Strong (80%)	NVP-BSK805	No-Effect
No-Effect	phenothiazine	No-Effect
No-Effect	WZ4003	No-Effect
No-Effect	magnolol	No-Effect
No-Effect	avridine	No-Effect
No-Effect	NSC-23766	No-Effect
No-Effect	EPZ004777	No-Effect
No-Effect	ASP-6537	No-Effect
No-Effect	riboflavin-tetrabutyrate	No-Effect
No-Effect	CORT-108297	No-Effect
Weak (50%)	STF-31	Weak (50%)
No-Effect	oncrasin-1	No-Effect
No-Effect	3-alpha-hydroxy-5-beta-androstan-17-one	No-Effect
No-Effect	GSK656	No-Effect
Weak (50%)	LY334370	Weak (50%)
No-Effect	tomeglovir	No-Effect
No-Effect	apararenone	No-Effect
No-Effect	pocapavir	No-Effect
No-Effect	temanogrel	No-Effect
No-Effect	VL285	No-Effect
No-Effect	rislenemdaz	No-Effect
Strong (80%)	ethynylcytidine	No-Effect
No-Effect	DG051	No-Effect
No-Effect	TCV-309	No-Effect
No-Effect	dalfopristin	No-Effect
No-Effect	fexaramine	No-Effect
No-Effect	capromorelin	No-Effect
No-Effect	NCX-1015	No-Effect
No-Effect	CHC	No-Effect
No-Effect	CCT196969	No-Effect
No-Effect	S-38093	No-Effect
No-Effect	epristeride	No-Effect
No-Effect	AM211	No-Effect
No-Effect	iberdomide	No-Effect
No-Effect	FT011	No-Effect
No-Effect	eltanexor	No-Effect
No-Effect	linaprazan	No-Effect
Manual Inspection	veralipride	No-Effect
No-Effect	CGP-25454A	No-Effect
No-Effect	esaxerenone	No-Effect
No-Effect	ciluprevir	No-Effect
No-Effect	telratolimod	No-Effect
No-Effect	MK-8617	No-Effect
No-Effect	hydroxysafflor-yellow-A	No-Effect
Manual Inspection	XL041	No-Effect
Manual Inspection	uki-1	No-Effect
No-Effect	tuftsin	No-Effect
No-Effect	10058-F4	No-Effect
Low (25%)	modaline	Low (25%)
Weak (50%)	belizatinib	Weak (50%)
No-Effect	PF-514273	No-Effect
No-Effect	RAF709	No-Effect
No-Effect	PDD-00017273	No-Effect
No-Effect	MIW-815	No-Effect
No-Effect	theaflavin	No-Effect
No-Effect	MM-206	No-Effect
Manual Inspection	soraprazan	No-Effect
No-Effect	NPS-2407	No-Effect
No-Effect	PF-06928215	No-Effect
No-Effect	SBI-115	No-Effect
Strong (80%)	gamithromycin	Strong (80%)
No-Effect	IACS-10759	No-Effect
Weak (50%)	G-749	Weak (50%)
Strong (80%)	trifloxystrobin	Strong (80%)
No-Effect	C188-9	No-Effect
Strong (80%)	scabertopin	Strong (80%)
No-Effect	liquiritin	No-Effect
No-Effect	miridesap	No-Effect
Cyto	omtriptolide	Cyto
No-Effect	sacubitrilat	No-Effect
No-Effect	methacycline	No-Effect
No-Effect	A-381393	No-Effect
No-Effect	N-(p-amylcinnamoyl)-anthranilic-acid	No-Effect
No-Effect	RBC8	No-Effect
Cyto	domiphen	Cyto
No-Effect	TC-LPA5-4	No-Effect
No-Effect	barium-6-O-phosphonato-D-glucose	No-Effect
No-Effect	nafadotride	No-Effect
No-Effect	CJ-033466	No-Effect
No-Effect	PD-158780	No-Effect
Manual Inspection	MK-5046	No-Effect
No-Effect	dextrorotation-nimorazole-phosphate-ester	No-Effect
Manual Inspection	TC-E-5006	No-Effect
No-Effect	K-858	No-Effect
No-Effect	phenol	No-Effect
Weak (50%)	GSK1562590	Weak (50%)
No-Effect	LY2365109	No-Effect
No-Effect	ODQ	No-Effect
No-Effect	NVS-PAK1-1	No-Effect
No-Effect	flavin-adenine-dinucleotide	No-Effect
Manual Inspection	FGIN-1-27	No-Effect
No-Effect	PF-4191834	No-Effect
No-Effect	4-pyrimidinecarbonitrile	No-Effect
No-Effect	EIT-hydrobromide	No-Effect
Very Weak (35%)	AM-1241	Very Weak (35%)
No-Effect	CFM-2	No-Effect
Strong (80%)	KU-60019	Strong (80%)
No-Effect	UBP-302	No-Effect
No-Effect	GSK-3-inhibitor-IX	No-Effect
No-Effect	3-AQC	No-Effect
No-Effect	nelociguat	No-Effect
Manual Inspection	Ro-48-6791	No-Effect
Strong (80%)	NVP-BHG712	Strong (80%)
No-Effect	RS-39604	No-Effect
No-Effect	EUK-134	No-Effect
No-Effect	tribomsalan	No-Effect
No-Effect	AF38469	No-Effect
No-Effect	GW-441756	No-Effect
No-Effect	PhiKan-083	No-Effect
No-Effect	DQP-1105	No-Effect
Strong (80%)	A-485	Strong (80%)
No-Effect	S-17092	No-Effect
No-Effect	guvacine	No-Effect
No-Effect	aloperine	No-Effect
No-Effect	homosalate	No-Effect
No-Effect	PF-06447475	No-Effect
No-Effect	ESI-09	No-Effect
No-Effect	YO-01027	No-Effect
No-Effect	tyrphostin-AG-494	No-Effect
Strong (80%)	BMS-566419	Strong (80%)
No-Effect	transcrocetinate	No-Effect
No-Effect	8-bromo-cGMP	No-Effect
No-Effect	beta-funaltrexamine	No-Effect
No-Effect	AMG458	No-Effect
Low (25%)	WZ8040	Low (25%)
No-Effect	5-amino-3-D-ribofuranosylthiazolo[4,5-d]pyrimidin-2,7(3H,6H)-dione	No-Effect
No-Effect	AM-580	No-Effect
No-Effect	AT-1015	No-Effect
No-Effect	TG-100713	No-Effect
No-Effect	SEW-2871	No-Effect
No-Effect	sufugolix	No-Effect
No-Effect	ZM-226600	No-Effect
No-Effect	RS-16566	No-Effect
No-Effect	CPCCOEt	No-Effect
Manual Inspection	sesamin	No-Effect
No-Effect	2-octyldodecan-1-ol	No-Effect
No-Effect	CGP-57380	No-Effect
No-Effect	UH-232-(+)	No-Effect
No-Effect	DMH4	No-Effect
Manual Inspection	cloperastine-fendizoate	No-Effect
No-Effect	decloxizine	No-Effect
No-Effect	cephalosporin-c-zn	No-Effect
Strong (80%)	Y-320	Strong (80%)
No-Effect	PHCCC	No-Effect
No-Effect	PIK-293	No-Effect
Manual Inspection	CGP-52411	No-Effect
No-Effect	CGP-53353	No-Effect
No-Effect	ML130	No-Effect
No-Effect	Calhex-231	No-Effect
No-Effect	siremadlin	No-Effect
No-Effect	[sar9,met(o2)11]-substance-p	No-Effect
No-Effect	loxistatin-acid	No-Effect
Manual Inspection	RU-SKI-43	No-Effect
No-Effect	methylbenzethonium-chloride	No-Effect
No-Effect	aminomethyltransferase	No-Effect
Low (25%)	NU-6027	Low (25%)
No-Effect	pinanediol	No-Effect
No-Effect	tetrazol-5-yl-glycine-(RS)	No-Effect
No-Effect	rheochrysidin	No-Effect
No-Effect	morin	No-Effect
No-Effect	NU-7441	No-Effect
No-Effect	ibotenic-acid	No-Effect
Manual Inspection	GYKI-52466	No-Effect
Manual Inspection	AMPA-(RS)	No-Effect
No-Effect	dibenzepine	No-Effect
No-Effect	1-azakenpaullone	No-Effect
No-Effect	BS-181	No-Effect
Strong (80%)	GZD824	Strong (80%)
No-Effect	JW-74	No-Effect
No-Effect	NI-57	No-Effect
No-Effect	picrotoxinin	No-Effect
No-Effect	scopolamine-N-oxide	No-Effect
Manual Inspection	ascomycin	No-Effect
No-Effect	Mps-BAY-2a	No-Effect
No-Effect	BMY-7378	No-Effect
No-Effect	rauwolscine	No-Effect
No-Effect	RS-67333	No-Effect
No-Effect	RS-79948	No-Effect
No-Effect	GR46611	No-Effect
No-Effect	astragaloside-a	No-Effect
No-Effect	sclareol	No-Effect
Manual Inspection	chloralose	No-Effect
No-Effect	3-methyl-GABA	No-Effect
No-Effect	3-alpha-bis-(4-fluorophenyl)-methoxytropane	No-Effect
No-Effect	L-701324	No-Effect
No-Effect	GS-143	No-Effect
Manual Inspection	naringin	No-Effect
No-Effect	CGS-21680	No-Effect
Manual Inspection	GR-135531	No-Effect
No-Effect	L-732,138	No-Effect
No-Effect	SKF-89976A	No-Effect
No-Effect	ARC-239	No-Effect
No-Effect	DG-172	No-Effect
No-Effect	LY225910	No-Effect
Very Weak (35%)	AM-281	Very Weak (35%)
No-Effect	olvanil	No-Effect
No-Effect	zolantidine	No-Effect
No-Effect	neohesperidin	No-Effect
No-Effect	pepstatin	No-Effect
No-Effect	MM77	No-Effect
No-Effect	neohesperidin-dihydrochalcone	No-Effect
No-Effect	WB-4101	No-Effect
No-Effect	AM-404	No-Effect
Strong (80%)	CGP-74514	No-Effect
No-Effect	naltriben	No-Effect
No-Effect	naringin-dihydrochalcone	No-Effect
Manual Inspection	3-CPMT	No-Effect
No-Effect	RS-67506	No-Effect
Low (25%)	L-741742	Low (25%)
No-Effect	CW-008	No-Effect
No-Effect	CGP-54626	No-Effect
No-Effect	AM-251	No-Effect
No-Effect	RS-56812	No-Effect
No-Effect	PD-318088	No-Effect
Weak (50%)	WYE-354	Weak (50%)
No-Effect	BML-190	No-Effect
Manual Inspection	UNC2250	No-Effect
Strong (80%)	LDN193189	No-Effect
No-Effect	WEHI-345-analog	No-Effect
Manual Inspection	HLCL-61	No-Effect
No-Effect	erythrosine	No-Effect
Strong (80%)	SRT1720	Strong (80%)
Strong (80%)	dioscin	No-Effect
No-Effect	furamidine	No-Effect
No-Effect	TCS-5861528	No-Effect
No-Effect	GSK37647	No-Effect
No-Effect	FLI-06	No-Effect
No-Effect	GSK1838705A	No-Effect
Weak (50%)	OXF-BD-02	Weak (50%)
No-Effect	AC-186	No-Effect
Low (25%)	pyrintegrin	Low (25%)
No-Effect	AS-1892802	No-Effect
Weak (50%)	UC-112	Weak (50%)
No-Effect	NAS-181	No-Effect
No-Effect	HP-228	No-Effect
Low (25%)	PI3Kd-IN-2	Low (25%)
Strong (80%)	convallatoxin	Strong (80%)
No-Effect	ningetinib-tosylate	No-Effect
No-Effect	sofosbuvir-impurity-m	No-Effect
No-Effect	SSR240612	No-Effect
No-Effect	BAY-8002	No-Effect
No-Effect	AUT-1	No-Effect
No-Effect	madecassoside	No-Effect
Strong (80%)	PTC-209	Strong (80%)
Strong (80%)	bafilomycin-a1	Strong (80%)
No-Effect	clamikalant	No-Effect
No-Effect	GSK239512	No-Effect
No-Effect	furvina	No-Effect
No-Effect	nitroflurbiprofen	No-Effect
No-Effect	MMV-390048	No-Effect
No-Effect	apyramide	No-Effect
No-Effect	AM095	No-Effect
No-Effect	devazepide	No-Effect
No-Effect	4-(aminomethyl)benzoic-acid	No-Effect
No-Effect	HTHQ	No-Effect
Manual Inspection	LY2795050	No-Effect
Cyto	JNJ-7706621	Cyto
No-Effect	CP-94253	No-Effect
Low (25%)	fantofarone	Low (25%)
No-Effect	tauroglycocholate	No-Effect
No-Effect	TS-011	No-Effect
Strong (80%)	FLT3-IN-1	Strong (80%)
No-Effect	DIM-C-pPhCO2Me	No-Effect
No-Effect	ZSET1446	No-Effect
No-Effect	farampator	No-Effect
No-Effect	ibiglustat	No-Effect
No-Effect	mitapivat	No-Effect
No-Effect	rovazolac	No-Effect
No-Effect	AB-423	No-Effect
No-Effect	MK-7246	No-Effect
No-Effect	seletalisib	No-Effect
No-Effect	bromisoval	No-Effect
No-Effect	mirogabalin-besylate	No-Effect
No-Effect	GS-967	No-Effect
No-Effect	lotamilast	No-Effect
No-Effect	sulfisomidin	No-Effect
No-Effect	O-304	No-Effect
No-Effect	RG7800	No-Effect
No-Effect	HOKU-81	No-Effect
No-Effect	S63845	No-Effect
No-Effect	hPGDS-IN-1	No-Effect
No-Effect	IDF-11774	No-Effect
No-Effect	licogliflozin	No-Effect
No-Effect	pirmenol	No-Effect
No-Effect	CXD101	No-Effect
No-Effect	BIA-10-2474	No-Effect
No-Effect	cyclopamine	No-Effect
No-Effect	BW-348U87	No-Effect
No-Effect	motapizone	No-Effect
No-Effect	KME-4	No-Effect
No-Effect	MK-886	No-Effect
No-Effect	nicainoprol	No-Effect
Manual Inspection	YL0919	No-Effect
No-Effect	GNE-7915	No-Effect
No-Effect	YS-201	No-Effect
No-Effect	freselestat	No-Effect
No-Effect	monepantel	No-Effect
No-Effect	verdinexor	No-Effect
No-Effect	BMS-935177	No-Effect
Cyto	entasobulin	Cyto
No-Effect	panipenem	No-Effect
No-Effect	lusaperidone	No-Effect
No-Effect	nuvenzepine	No-Effect
Very Weak (35%)	BTK-IN-1	Very Weak (35%)
No-Effect	desidustat	No-Effect
No-Effect	fosfluconazole	No-Effect
No-Effect	NSP-805	No-Effect
No-Effect	benactyzine	No-Effect
Manual Inspection	chlorphenoxamine	No-Effect
No-Effect	astilbin	No-Effect
No-Effect	ametantrone	No-Effect
No-Effect	R-121919	No-Effect
No-Effect	ST-1535	No-Effect
No-Effect	monastrol	No-Effect
No-Effect	neuropathiazol	No-Effect
Weak (50%)	PFI-1	Weak (50%)
No-Effect	EC-23	No-Effect
No-Effect	2-oxopropanoate	No-Effect
No-Effect	DMSO	No-Effect
No-Effect	UNC0224	No-Effect
No-Effect	JX-401	No-Effect
No-Effect	2-BFI	No-Effect
No-Effect	levobunolol-(+)	No-Effect
No-Effect	NMS-P715	No-Effect
No-Effect	BMS-688521	No-Effect
No-Effect	4-galactosyllactose	No-Effect
No-Effect	palmitoleic-acid	No-Effect
No-Effect	GSK-LSD-1	No-Effect
Manual Inspection	hippuric-acid	No-Effect
No-Effect	LY310762	No-Effect
No-Effect	benethamine	No-Effect
No-Effect	AZ505	No-Effect
No-Effect	YK-4-279	No-Effect
No-Effect	WIKI4	No-Effect
No-Effect	5-methylhydantoin-(D)	No-Effect
No-Effect	PF-670462	No-Effect
No-Effect	CPI-360	No-Effect
No-Effect	MGCD-265	No-Effect
No-Effect	FPS-ZM1	No-Effect
No-Effect	MDL-29951	No-Effect
Manual Inspection	L-asparagine-N-hydroxy	No-Effect
No-Effect	o-mercapto-benzoic-acid	No-Effect
No-Effect	N-hydroxynicotinamide	No-Effect
No-Effect	VX-11e	No-Effect
No-Effect	macelignan	No-Effect
Strong (80%)	BIX-01294	No-Effect
No-Effect	adenine	No-Effect
No-Effect	AI-10-49	No-Effect
No-Effect	L-701252	No-Effect
No-Effect	pentacosanoic-acid	No-Effect
No-Effect	acetriazoic-acid	No-Effect
No-Effect	GSK503	No-Effect
No-Effect	BVT-2733	No-Effect
Strong (80%)	C-021	Strong (80%)
No-Effect	4,4'-DDT	No-Effect
No-Effect	octadecan-1-ol	No-Effect
No-Effect	basic-fuchsin	No-Effect
No-Effect	thymol-iodide	No-Effect
No-Effect	iothalamic-acid-d3	No-Effect
No-Effect	sinefungin	No-Effect
No-Effect	RP-001	No-Effect
Strong (80%)	digoxigenin	Strong (80%)
Cyto	D-64131	Cyto
No-Effect	TPCA-1	No-Effect
No-Effect	7-aminocephalosporanic-acid	No-Effect
No-Effect	ZM-336372	No-Effect
No-Effect	LDN-57444	No-Effect
Weak (50%)	SB-590885	Weak (50%)
Weak (50%)	CHR-6494	Weak (50%)
No-Effect	alpha-methylserotonin	No-Effect
No-Effect	butyl-paraben	No-Effect
No-Effect	LY364947	No-Effect
Weak (50%)	nocodazole	Weak (50%)
No-Effect	SR-1664	No-Effect
No-Effect	IU1	No-Effect
No-Effect	nithiamide	No-Effect
No-Effect	DCPIB	No-Effect
No-Effect	mdivi-1	No-Effect
No-Effect	BD-1008	No-Effect
No-Effect	A66	No-Effect
No-Effect	NVP-231	No-Effect
No-Effect	PFI-3	No-Effect
No-Effect	SB-431542	No-Effect
No-Effect	TBOA-(DL)	No-Effect
No-Effect	SR-95639A	No-Effect
Cyto	MG-132	Cyto
No-Effect	GNF-5837	No-Effect
No-Effect	bornyl-acetate	No-Effect
No-Effect	amylene-hydrate	No-Effect
No-Effect	N-acetylglycyl-D-glutamic-acid	No-Effect
No-Effect	SU9516	No-Effect
No-Effect	epothilone-A	No-Effect
No-Effect	O-acetyl-L-serine	No-Effect
No-Effect	Y-27632	No-Effect
No-Effect	AS-1949490	No-Effect
Cyto	ER-27319	Cyto
Strong (80%)	NNC-55-0396	Strong (80%)
No-Effect	PD-98059	No-Effect
Cyto	TW-37	Cyto
No-Effect	SB-408124	No-Effect
No-Effect	LY231617	No-Effect
No-Effect	SKF-83566	No-Effect
Strong (80%)	UNC0737	Strong (80%)
No-Effect	cot-inhibitor-2	No-Effect
No-Effect	benzyldimethyloctylammonium	No-Effect
No-Effect	2-deoxy-2-([methyl(nitroso)carbamoyl]amino)hexose	No-Effect
No-Effect	LFM-A13	No-Effect
No-Effect	EPZ020411	No-Effect
No-Effect	isoliquiritigenin	No-Effect
No-Effect	3-methyladenine	No-Effect
No-Effect	phenylmethylsulfonyl-fluoride	No-Effect
No-Effect	3-deazauridine	No-Effect
No-Effect	IKK-2-inhibitor	No-Effect
No-Effect	10-deacetylbaccatin	No-Effect
No-Effect	FH1	No-Effect
No-Effect	AZ-10417808	No-Effect
No-Effect	oxonic-acid	No-Effect
No-Effect	CGS-15943	No-Effect
No-Effect	BVT-948	No-Effect
No-Effect	DCEBIO	No-Effect
No-Effect	AM-630	No-Effect
No-Effect	NVP-TAE226	No-Effect
No-Effect	CIQ	No-Effect
No-Effect	HA14-1	No-Effect
No-Effect	BMS-536924	No-Effect
No-Effect	indium-tri(2-propanolate)	No-Effect
No-Effect	TC2559	No-Effect
No-Effect	naloxone-benzoylhydrazone	No-Effect
No-Effect	2-(1-adamantylamino)benzoic-acid	No-Effect
No-Effect	salubrinal	No-Effect
No-Effect	SD-169	No-Effect
No-Effect	BAY-K-8644-(+/-)	No-Effect
Weak (50%)	PI-828	Weak (50%)
Cyto	NMS-873	Cyto
No-Effect	GW-405833	No-Effect
No-Effect	OAC2	No-Effect
No-Effect	atglistatin	No-Effect
No-Effect	epetraborole	No-Effect
No-Effect	dibutyl-phthalate	No-Effect
No-Effect	NBI-98782	No-Effect
Cyto	OTS514	Cyto
No-Effect	3PO	No-Effect
No-Effect	thiophanate	No-Effect
