,FragmentsBitId,AvgNumNonHydrogenAtoms,StdNumNonHydrogenAtoms,countStrong,p-valueStrong,countWeak,p-valueWeak,countVeryWeak,p-valueVeryWeak,countLow,p-valueLow,countCyto,p-valueCyto,countNE,p-valueNE,hStrongBH,p-valueStrongBH,hWeakBH,p-valueWeakBH,hVeryWeakBH,p-valueVeryWeakBH,hLowBH,p-valueLowBH,hCytoBH,p-valueCytoBH,hNEBH,p-valueNEBH
0,0,8.772727272727273,2.1091105014763962,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.2679127091254413,1.0,0.30529951166946684,19.0,0.5423341865306184,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999987215966
1,1,7.846153846153846,2.084601192117455,4.0,0.0810614416675674,1.0,0.8792920931877913,4.0,0.1970656473717427,4.0,0.3384208553995374,3.0,0.08717933022974104,48.0,0.9834191850617438,False,0.7923688266101919,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999987215966
2,2,10.620689655172415,2.2501156001483382,1.0,0.5298823109991657,0.0,1.0,2.0,0.27983821810563697,2.0,0.3871810962816781,0.0,1.0,24.0,0.7056333353461592,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999987215966
3,3,10.285714285714286,1.4846149779161804,0.0,1.0,1.0,0.20567255857460157,0.0,1.0,0.0,1.0,0.0,1.0,6.0,0.6992068542449421,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999987215966
4,4,9.090909090909092,2.2342192231717286,0.0,1.0,0.0,1.0,1.0,0.33149969009400393,0.0,1.0,0.0,1.0,10.0,0.46859937393338846,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999987215966
5,5,4.571428571428571,1.7969487870584007,2.0,0.9579149035694483,4.0,0.8665734045631113,11.0,0.07751539682221782,9.0,0.504468788288124,5.0,0.19799787388610735,158.0,0.6627554472402979,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999987215966
6,6,9.5,3.1339158526400435,0.0,1.0,0.0,1.0,1.0,0.40110418193557534,3.0,0.02392579695769155,0.0,1.0,10.0,0.945796233097737,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999987215966
7,7,10.346153846153847,1.6277003053460637,1.0,0.7138045180880981,2.0,0.46321244070759404,2.0,0.5190975204244441,0.0,1.0,1.0,0.5490242804387512,42.0,0.36011056920265094,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999987215966
8,8,11.551724137931034,1.6522963518221985,2.0,0.1696200537014454,1.0,0.6153906503028016,1.0,0.6546398186476885,2.0,0.3871810962816781,1.0,0.3814847539108645,22.0,0.9290210200216291,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999987215966
9,9,10.352941176470589,1.5316725372107691,3.0,0.05546921285272928,2.0,0.30150528860101883,3.0,0.1215268109576616,1.0,0.7984847946810067,0.0,1.0,25.0,0.9693928998019039,False,0.6884905934690276,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999987215966
