Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
potassium ion transmembrane transport (GO:0071805)	16/139	7.105049554759804E-23	7.687663618250107E-20	0	0	73.68548199767712	3757.8602098399324	KCNH2;KCNH5;KCND2;KCND3;KCNA1;ATP1A4;ATP1A3;ATP1B3;ATP1A2;ATP1B2;ATP1A1;ATP1B1;FXYD2;KCNQ2;KCNQ5;KCNH1
metal ion export (GO:0070839)	10/32	2.8075012071693293E-19	1.518858153078607E-16	0	0	220.920177383592	9437.00787787904	KCNH2;KCND3;FXYD2;ATP1A4;ATP1A3;ATP1A2;ATP1B3;ATP1A1;ATP1B2;ATP1B1
sodium ion export across plasma membrane (GO:0036376)	8/13	1.2791975656083726E-18	4.613639219960864E-16	0	0	742.1023255813953	30574.83747577342	FXYD2;ATP1A4;ATP1A3;ATP1A2;ATP1B3;ATP1A1;ATP1B2;ATP1B1
potassium ion homeostasis (GO:0055075)	8/24	7.15945452069995E-16	1.6307932292004866E-13	0	0	231.77906976744185	8082.8147410043985	KCNH2;ATP1A4;ATP1A3;ATP1A2;ATP1B3;ATP1A1;ATP1B2;ATP1B1
cellular potassium ion homeostasis (GO:0030007)	7/13	7.736335426492829E-16	1.6307932292004866E-13	0	0	528.7916666666666	18399.535204920143	ATP1A4;ATP1A3;ATP1A2;ATP1B3;ATP1A1;ATP1B2;ATP1B1
potassium ion import across plasma membrane (GO:1990573)	9/42	9.043215688727282E-16	1.6307932292004866E-13	0	0	129.32467532467533	4479.722260130644	KCNH2;FXYD2;ATP1A4;ATP1A3;ATP1A2;ATP1B3;ATP1A1;ATP1B2;ATP1B1
cellular sodium ion homeostasis (GO:0006883)	7/15	2.890086000300817E-15	4.467247217607835E-13	0	0	396.55397727272725	13275.631862277389	ATP1A4;ATP1A3;ATP1A2;ATP1B3;ATP1A1;ATP1B2;ATP1B1
inorganic cation transmembrane transport (GO:0098662)	14/274	4.835080822083776E-15	6.165149964901302E-13	0	0	28.653430353430352	944.4995447838409	KCNH2;KCNH5;KCND2;KCND3;KCNA1;ATP1A4;ATP1A3;ATP1B3;ATP1A2;ATP1A1;ATP1B1;KCNQ2;KCNQ5;KCNH1
membrane repolarization (GO:0086009)	7/16	5.128128436609216E-15	6.165149964901302E-13	0	0	352.47474747474746	11597.841649395885	KCNH2;KCND3;ATP1A2;ATP1B3;ATP1A1;ATP1B2;ATP1B1
potassium ion transport (GO:0006813)	11/122	1.0644391092336634E-14	1.1517231161908238E-12	0	0	49.1481981981982	1581.2815124610327	KCNH2;KCNH5;KCND2;KCND3;KCNA1;KCNQ2;ATP1A4;ATP1B3;KCNQ5;ATP1A2;KCNH1
cellular monovalent inorganic cation homeostasis (GO:0030004)	7/20	3.4484412465297794E-14	3.392012207950201E-12	0	0	243.97202797202797	7562.710548032298	ATP1A4;ATP1A3;ATP1A2;ATP1B3;ATP1A1;ATP1B2;ATP1B1
sodium ion homeostasis (GO:0055078)	7/25	2.1179674869593152E-13	1.9097006840749826E-11	0	0	176.1578282828283	5140.84020537576	ATP1A4;ATP1A3;ATP1A2;ATP1B3;ATP1A1;ATP1B2;ATP1B1
inorganic cation import across plasma membrane (GO:0098659)	9/77	3.062374497608337E-13	2.5488378510863232E-11	0	0	62.65021008403362	1805.2291916823142	KCNH2;FXYD2;ATP1A4;ATP1A3;ATP1B3;ATP1A2;ATP1B2;ATP1A1;ATP1B1
regulation of cardiac conduction (GO:1903779)	8/55	1.1171730759648714E-12	8.634151915671363E-11	0	0	78.78080158337457	2168.06496462018	FXYD2;ATP1A4;ATP1A3;ATP1B3;ATP1A2;ATP1B2;ATP1A1;ATP1B1
regulation of heart contraction (GO:0008016)	9/93	1.77136061810469E-12	1.27774145919285E-10	0	0	50.67602040816327	1371.2562785748719	FXYD2;ATP1A4;ATP1A3;ATP1B3;ATP1A2;ATP1B2;ATP1A1;ATP1B1;CALM1
cellular metal ion homeostasis (GO:0006875)	9/104	4.955505899236381E-12	3.3511608643586024E-10	0	0	44.783458646616545	1165.7367990263313	ATP1A4;HTR2C;ATP1A3;ATP1B3;ATP1A2;HTR2A;ATP1B2;ATP1A1;ATP1B1
sodium ion transmembrane transport (GO:0035725)	8/87	5.0431303628659065E-11	3.209804148600536E-9	0	0	46.7942302031204	1109.5103383558978	FXYD2;ATP1A4;ATP1A3;ATP1B3;ATP1A2;ATP1B2;ATP1A1;ATP1B1
response to steroid hormone (GO:0048545)	6/34	2.5827724990915723E-10	1.5525332466761564E-8	0	0	94.86190476190477	2094.265085269447	CATSPER1;CATSPER2;CATSPER4;ATP1A3;ATP1A2;ATP1A1
cell communication by electrical coupling involved in cardiac conduction (GO:0086064)	5/17	5.328413805634039E-10	3.034391440892647E-8	0	0	180.58876811594203	3856.0753662853476	ATP1A3;ATP1A2;ATP1A1;ATP1B2;ATP1B1
phospholipase C-activating G protein-coupled receptor signaling pathway (GO:0007200)	7/81	1.3754958034709445E-9	7.44143229677781E-8	0	0	42.728808353808354	871.8579014032767	HRH1;HTR2C;ADRA1D;HTR2A;DRD1;ADRA1B;DRD2
