Gene	No-Effect	Very Weak (35%)	Strong & Weak	Low (25%)	Cyto	padj_noeffect	padj_Cyto	padj_StrWeak	padj_vWeak	padj_low
AADAT	0.959045059394684	0.0975857713914875	1	1	1	1	1	1	1	1
AARS2	1	1	0.070599363659816	1	1	1	1	1	1	1
AASS	0.959045059394684	0.0975857713914875	1	1	1	1	1	1	1	1
ABAT	0.670702824233544	0.401439127205337	0.518986525769476	1	1	1	1	1	1	1
ABCA1	0.507555483065512	1	1	1	1	1	1	1	1	1
ABCB1	0.104378183212657	1	1	1	1	1	1	1	1	1
ABCB11	0.940227904427053	0.0226625609608797	1	1	1	1	1	1	1	1
ABCB4	0.797661019864133	1	1	1	1	1	1	1	1	1
ABCC1	0.404883711087078	1	1	1	1	1	1	1	1	1
ABCC2	0.636276980333582	1	1	1	1	1	1	1	1	1
ABCC8	0.389431481885511	0.536834538310079	1	0.578356727444134	1	1	1	1	1	1
ABCC9	0.404883711087078	1	1	1	1	1	1	1	1	1
ABCG1	0.797661019864133	1	1	1	1	1	1	1	1	1
ABCG2	0.959045059394684	0.0975857713914875	1	1	1	1	1	1	1	1
ABHD6	0.797661019864133	1	1	1	1	1	1	1	1	1
ABL1	0.619397997132441	0.64156280383318	0.164075628602686	1	1	1	1	1	1	1
ABL2	0.636276980333582	1	1	1	1	1	1	1	1	1
ACAA2	0.797661019864133	1	1	1	1	1	1	1	1	1
ACACA	0.893719974869722	1	0.197181436958372	1	1	1	1	1	1	1
ACACB	0.732466062049992	1	0.306505232527227	1	1	1	1	1	1	1
ACAD8	0.797661019864133	1	1	1	1	1	1	1	1	1
ACADM	0.797661019864133	1	1	1	1	1	1	1	1	1
ACADS	0.636276980333582	1	1	1	1	1	1	1	1	1
ACADSB	0.797661019864133	1	1	1	1	1	1	1	1	1
ACAN	0.797661019864133	1	1	1	1	1	1	1	1	1
ACAT1	0.636276980333582	1	1	1	1	1	1	1	1	1
ACAT2	1	1	0.070599363659816	1	1	1	1	1	1	1
ACE	0.372286630578723	0.7364335912959	0.850652591970669	0.431454537376246	1	1	1	1	1	1
ACE2	0.507555483065512	1	1	1	1	1	1	1	1	1
ACHE	0.0713944835061165	0.323812251627417	0.946256469471792	1	1	1	1	1	1	1
ACKR3	0.636276980333582	1	1	1	1	1	1	1	1	1
ACLY	1	0.0500472955542181	1	1	1	1	1	1	1	1
ACO2	0.797661019864133	1	1	1	1	1	1	1	1	1
ACOX1	0.797661019864133	1	1	1	1	1	1	1	1	1
ACP1	0.797661019864133	1	1	1	1	1	1	1	1	1
ACSL1	0.636276980333582	1	1	1	1	1	1	1	1	1
ACSL3	0.797661019864133	1	1	1	1	1	1	1	1	1
ACSL4	0.797661019864133	1	1	1	1	1	1	1	1	1
ACSS1	0.636276980333582	1	1	1	1	1	1	1	1	1
ACSS2	0.636276980333582	1	1	1	1	1	1	1	1	1
ACTA1	0.959045059394684	1	0.136208815287958	1	1	1	1	1	1	1
ACTB	0.797661019864133	1	1	1	1	1	1	1	1	1
ACTR2	0.797661019864133	1	1	1	1	1	1	1	1	1
ACTR3	0.797661019864133	1	1	1	1	1	1	1	1	1
ACVR1	0.649613125165999	1	0.355444479913778	1	1	1	1	1	1	1
ACVR1B	0.636276980333582	1	1	1	1	1	1	1	1	1
ACVR1C	0.797661019864133	1	1	1	1	1	1	1	1	1
ACVRL1	0.636276980333582	1	1	1	1	1	1	1	1	1
ACY1	0.959045059394684	0.0975857713914875	1	1	1	1	1	1	1	1
ACY3	1	0.0500472955542181	1	1	1	1	1	1	1	1
ADA	0.940227904427053	0.22637661780522	1	0.250232830181434	1	1	1	1	1	1
ADAM17	0.959045059394684	1	1	0.108823088600437	1	1	1	1	1	1
ADAM28	0.507555483065512	1	1	1	1	1	1	1	1	1
ADAMTS5	0.797661019864133	1	1	1	1	1	1	1	1	1
ADCY1	0.507555483065512	1	1	1	1	1	1	1	1	1
ADCY2	0.636276980333582	1	1	1	1	1	1	1	1	1
ADCY5	0.507555483065512	1	1	1	1	1	1	1	1	1
