Gene	No-Effect	Very Weak (35%)	Strong & Weak	Low (25%)	Cyto	p_No-Effect	p_Very Weak (35%)	p_Strong & Weak	p_Low (25%)	p_Cyto	padj_noeffect	padj_Cyto	padj_StrWeak	padj_vWeak	padj_low
AADAT	1	1	0	0	0	0.95928832113685	0.0975857713914875	1	1	1	1	1	1	1	1
AARS2	0	0	1	0	0	1	1	0.069997420242497	1	1	1	1	1	1	1
AASS	1	1	0	0	0	0.95928832113685	0.0975857713914875	1	1	1	1	1	1	1	1
ABAT	8	1	1	0	0	0.672524349620765	0.401439127205337	0.51586336197673	1	1	1	1	1	1	1
ABCA1	3	0	0	0	0	0.508705284703027	1	1	1	1	1	1	1	1	1
ABCB1	10	0	0	0	0	0.105168153926191	1	1	1	1	1	1	1	1	1
ABCB11	3	2	0	0	0	0.940697363015372	0.0226625609608797	1	1	1	1	1	1	1	1
ABCB4	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
ABCC1	4	0	0	0	0	0.406107055859036	1	1	1	1	1	1	1	1	1
ABCC2	2	0	0	0	0	0.637237605426053	1	1	1	1	1	1	1	1	1
ABCC8	13	1	0	1	0	0.39166587121671	0.536834538310079	1	0.578356727444134	1	1	1	1	1	1
ABCC9	4	0	0	0	0	0.406107055859036	1	1	1	1	1	1	1	1	1
ABCG1	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
ABCG2	1	1	0	0	0	0.95928832113685	0.0975857713914875	1	1	1	1	1	1	1	1
ABHD6	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
ABL1	16	1	3	0	0	0.622028765388877	0.64156280383318	0.161130645432627	1	1	1	1	1	1	1
ABL2	2	0	0	0	0	0.637237605426053	1	1	1	1	1	1	1	1	1
ACAA2	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
ACACA	2	0	1	0	0	0.894302246872106	1	0.195620690318418	1	1	1	1	1	1	1
ACACB	4	0	1	0	0	0.733701710048084	1	0.304256964937203	1	1	1	1	1	1	1
ACAD8	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
ACADM	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
ACADS	2	0	0	0	0	0.637237605426053	1	1	1	1	1	1	1	1	1
ACADSB	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
ACAN	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
ACAT1	2	0	0	0	0	0.637237605426053	1	1	1	1	1	1	1	1	1
ACAT2	0	0	1	0	0	1	1	0.069997420242497	1	1	1	1	1	1	1
ACE	22	1	1	2	0	0.375168265620426	0.7364335912959	0.848120159606954	0.431454537376246	1	1	1	1	1	1
ACE2	3	0	0	0	0	0.508705284703027	1	1	1	1	1	1	1	1	1
ACHE	36	3	1	0	0	0.0726215840731415	0.323812251627417	0.944848990526717	1	1	1	1	1	1	1
ACKR3	2	0	0	0	0	0.637237605426053	1	1	1	1	1	1	1	1	1
ACLY	0	1	0	0	0	1	0.0500472955542181	1	1	1	1	1	1	1	1
ACO2	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
ACOX1	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
ACP1	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
ACSL1	2	0	0	0	0	0.637237605426053	1	1	1	1	1	1	1	1	1
ACSL3	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
ACSL4	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
ACSS1	2	0	0	0	0	0.637237605426053	1	1	1	1	1	1	1	1	1
ACSS2	2	0	0	0	0	0.637237605426053	1	1	1	1	1	1	1	1	1
ACTA1	1	0	1	0	0	0.95928832113685	1	0.135089604242721	1	1	1	1	1	1	1
ACTB	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
ACTR2	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
ACTR3	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
ACVR1	5	0	1	0	0	0.651092047272845	1	0.352936252417099	1	1	1	1	1	1	1
ACVR1B	2	0	0	0	0	0.637237605426053	1	1	1	1	1	1	1	1	1
ACVR1C	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
ACVRL1	2	0	0	0	0	0.637237605426053	1	1	1	1	1	1	1	1	1
ACY1	1	1	0	0	0	0.95928832113685	0.0975857713914875	1	1	1	1	1	1	1	1
ACY3	0	1	0	0	0	1	0.0500472955542181	1	1	1	1	1	1	1	1
ADA	3	1	0	1	0	0.940697363015372	0.22637661780522	1	0.250232830181434	1	1	1	1	1	1
ADAM17	1	0	0	1	0	0.95928832113685	1	1	0.108823088600437	1	1	1	1	1	1
ADAM28	3	0	0	0	0	0.508705284703027	1	1	1	1	1	1	1	1	1
ADAMTS5	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
ADCY1	3	0	0	0	0	0.508705284703027	1	1	1	1	1	1	1	1	1
ADCY2	2	0	0	0	0	0.637237605426053	1	1	1	1	1	1	1	1	1
ADCY5	3	0	0	0	0	0.508705284703027	1	1	1	1	1	1	1	1	1
ADH1A	2	0	0	0	0	0.637237605426053	1	1	1	1	1	1	1	1	1
ADH1B	2	0	0	0	0	0.637237605426053	1	1	1	1	1	1	1	1	1
ADH1C	3	1	0	0	0	0.816499971234999	0.185633806436352	1	1	1	1	1	1	1	1
ADH4	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
ADH5	2	0	0	0	0	0.637237605426053	1	1	1	1	1	1	1	1	1
ADH7	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
ADIPOR1	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
ADIPOR2	2	0	0	0	0	0.637237605426053	1	1	1	1	1	1	1	1	1
ADK	3	0	0	0	0	0.508705284703027	1	1	1	1	1	1	1	1	1
ADORA1	40	1	2	3	0	0.153195358066496	0.905306058234947	0.841026141899397	0.479214862198776	1	1	1	1	1	1
ADORA2A	33	1	3	3	0	0.426586448712269	0.871290544590358	0.537141243840418	0.389498644204779	1	1	1	1	1	1
ADORA2B	26	1	3	3	0	0.656198757191423	0.815837022958672	0.409422845484454	0.280893306554096	1	1	1	1	1	1
ADORA3	29	1	2	2	0	0.291397575994013	0.825027800924548	0.697714950890361	0.574224846574707	1	1	1	1	1	1
ADRA1A	74	5	12	9	0	0.938101156604217	0.564134988523291	0.0476228929348387	0.108895243149057	1	1	1	1	1	1
ADRA1B	43	3	11	3	0	0.953555832515357	0.582653293247201	0.00282522845538825	0.659260475629352	1	1	1	0.38902296659873	1	1
ADRA1D	40	4	9	3	0	0.953149825746722	0.307592128746707	0.0154374145895843	0.612777532840916	1	1	1	0.816203817531353	1	1
ADRA2A	63	3	4	8	0	0.484991427296993	0.753959086086262	0.802991073816942	0.070879161469026	1	1	1	1	1	1
ADRA2B	51	2	3	5	0	0.290410768620805	0.815378696186799	0.808486227351408	0.255650483337458	1	1	1	1	1	1
ADRA2C	49	2	3	6	0	0.43564943496446	0.808117684276765	0.799471839322894	0.118906267708547	1	1	1	1	1	1
ADRB1	57	0	3	2	0	0.00843780317241588	1	0.817154827057191	0.867862035502341	1	1	1	1	1	1
ADRB2	66	1	2	1	1	0.00213482740206817	0.973593554628161	0.962904070962814	0.983051888502795	0.845687930070728	1	1	1	1	1
ADRB3	30	0	1	1	1	0.0776473945350414	1	0.908492154430573	0.850191888995451	0.581057236441256	1	1	1	1	1
